pearson_r,spearman_r,slope
-0.45264618646372085,-0.2688622282097496,-4.483082274617591
-0.46941039308850424,-0.22869491741791942,-4.541025891876094
-0.30322483899428915,-0.09148230425124006,-3.1078781953821206
-0.30596253986427047,-0.07587800650713047,-2.6825581847944617
-0.2719205302870547,-0.062128973064279946,-2.5060216432061564
-0.2878687925993726,-0.14124733326444902,-2.6183686762099154
-0.19885118207259492,0.06625251233327242,-1.7620529250113224
-0.5205122546204025,-0.4052685647196948,-5.320906807681998
-0.5320012517062964,-0.29749512924938853,-5.3067072693492765
-0.09625126906328751,0.17406662086659408,-0.7867772950881236
-0.38009767752704343,-0.16002140103843676,-3.653410558891469
-0.2833663889250239,-0.11455334037977914,-2.7148925909394968
-0.5333148090134152,-0.3823583058720527,-5.54440045426526
-0.3949123085887803,-0.2065459051645588,-3.791685262922861
-0.38068054421982767,-0.1418097954724768,-3.679712582806392
-0.47968882974152244,-0.3752513074059002,-4.8704449517588975
-0.5847306346736116,-0.393938657315969,-6.278780654574464
-0.31478372398973986,-0.16595035896438318,-3.088427950928123
-0.5358555943266525,-0.33344266477158846,-5.28716570450809
-0.47840768202316974,-0.3614401505722352,-4.762653893329055
-0.21115047352815727,0.031450210924298234,-1.9645137019314245
-0.21224263967453755,0.016996496256398735,-1.9387376530124676
-0.31916744936499936,-0.11204074208803202,-2.9880687193815896
-0.5117597126155907,-0.31547582925733986,-5.127859480243536
-0.27913501925021145,-0.06883741258741259,-2.569467376644835
-0.3386638193980297,-0.13224193587534283,-3.2359376286177093
-0.2998678274082942,-0.12911629149689402,-2.8547647648687735
-0.3713384345448811,-0.17431839453500103,-3.648781549398538
-0.4661144273040433,-0.27456032670126523,-4.4441730148601035
-0.5099680737328186,-0.3205958195552589,-5.374275699740312
-0.45676133936397745,-0.2520429009193054,-4.666242190874954
-0.2828274570102711,-0.13047072553977826,-2.576966184648109
-0.27914872241889926,-0.0875510588063923,-2.711796031022373
-0.40886649305570816,-0.19064264914189838,-4.310963178110034
-0.41313081183506595,-0.16326902074990898,-4.029437973289256
-0.5073150237635154,-0.33134895272182757,-4.9100096262522
-0.5032098396392249,-0.45557789557058426,-5.402002838405228
-0.44172600199856604,-0.19683776212727944,-4.490702962145927
-0.382333434251125,-0.09740705422166071,-3.7192928786344504
-0.4260683906438695,-0.19980323329001223,-4.117525404716976
-0.3374196913868523,-0.2376869755563663,-3.490429603981309
-0.3629990574256582,-0.14483888585472418,-3.4398698117505484
-0.45499548609911633,-0.3257530614974889,-4.787829420577988
-0.4260737591392928,-0.16448409317722656,-4.005050451584775
-0.42757651529387325,-0.17587250744656976,-4.0112892706634495
-0.40707618900960374,-0.274413807747141,-4.075803036693181
-0.4404565678048332,-0.3145222565997824,-4.358282076944256
-0.30370603885563197,-0.12760286726137593,-3.081321273429502
